"MMM.Close","AXP.Close","AMGN.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","DOW.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","MCD.Close","MRK.Close","MSFT.Close","NKE.Close","PG.Close","CRM.Close","TRV.Close","UNH.Close","VZ.Close","V.Close","WBA.Close","WMT.Close","DIS.Close"
137.020004,73.75,204.880005,61.6675,101.889999,100.120003,55.049999,37.119999,44.849998,26.440001,140.020004,155.630005,119.610001,103.550003,47.610001,134.960007,83.889999,137.300003,71.629997,140.399994,68.040001,117.449997,132.240005,81.690002,217.059998,54.32,148.479996,52.810001,122.580002,88.800003
137.509995,77.07,198.759995,61.195,97.709999,103.010002,57.389999,37.709999,41.830002,28.120001,149.490005,161.130005,118.959999,100.339996,45.939999,127.050003,85.300003,149.5,70.730003,142.710007,70.339996,110.830002,139.460007,86.07,219.800003,53.619999,152.25,48.549999,119.449997,94.93
124.889999,74.120003,188.25,57.310001,95.010002,95.5,59.389999,35.599998,38.299999,27.440001,138.410004,152.149994,112.5,95.389999,45.830002,119.889999,83.5,148.490005,71.360001,137.350006,67.449997,102.43,139.350006,89.510002,206.589996,51.799999,146.830002,46.419998,113.970001,85.980003
117.870003,68.959999,185.929993,56.092499,105.620003,91.849998,54.220001,34.599998,37.560001,26.58,134.970001,162.389999,103.860001,94.769997,49.580002,111.139999,79.029999,137.100006,66.400002,135.979996,62.799999,97.699997,140.520004,88.360001,194.860001,50.310001,135.740005,43.610001,114.279999,85.760002
132.720001,84.050003,202.339996,61.720001,127.68,101.339996,66.550003,38.599998,39.450001,28.469999,153.600006,184.720001,119.510002,105.480003,52.400002,119.18,88.43,161.949997,69.050003,148.339996,72.330002,103.269997,153.639999,93.739998,219.800003,49.990002,154.529999,45.25,115.029999,98.120003
131.539993,90.169998,193.139999,61.380001,158.729996,104.669998,69.269997,37.669998,41.610001,30.379999,155.130005,181.759995,129.649994,105.849998,51.259998,119.400002,91.730003,162.979996,68.220001,146.919998,79.010002,100.919998,147.059998,92.18,234.490005,49.939999,161.779999,41.439999,109.400002,100.730003
136.179993,93.290001,198.490005,64.610001,180.550003,110.5,76.379997,40.580002,44.290001,29.68,165.789993,195.210007,137.399994,112.889999,55.540001,126.57,98.120003,167.350006,73.529999,156.110001,84.300003,107.379997,154.729996,98.669998,255.389999,53.540001,168.880005,45.669998,109.82,105.360001
133.240005,88.730003,198.270004,61.935001,162,105.440002,68.779999,38.82,42.810001,28.559999,158.339996,190.550003,131.270004,108.029999,52.369999,123.160004,91.129997,164.009995,71.730003,149.699997,83.230003,110.169998,146,99.949997,242.449997,52.77,161.559998,44,109.580002,96.400002
137.740005,90.269997,208.479996,63.702499,152.279999,111.709999,71.949997,40.32,45,28.65,159.619995,196.100006,131.75,112.93,55.490002,133.009995,93.5,168.130005,76.949997,160.229996,85.379997,115,149.850006,102.589996,251.279999,54.77,165.570007,45.16,115.190002,99.800003
136.509995,85.610001,202.729996,63.572498,149.139999,116.040001,72.459999,39.310001,44.25,29.24,154.589996,186.710007,133.789993,110.93,54.119999,131.130005,90.029999,165.350006,76.940002,157.710007,82.739998,110,143.979996,99.349998,249.380005,53.73,161.119995,45.75,113.620003,96.599998
133.139999,77.839996,197.809998,60.227501,130.699997,111.349998,68.559998,38.330002,42.119999,27.040001,145.289993,178.630005,129.710007,105.139999,51.880001,128.809998,84.360001,158.169998,73.800003,152.110001,79.230003,109.330002,134.059998,95.199997,237.320007,52.919998,153.110001,43.029999,114.139999,94.919998
137.910004,76.660004,208.880005,61.232498,123.269997,116.739998,76.120003,39.799999,43.950001,28.030001,149.929993,181.309998,132.809998,110,54.349998,133.149994,87.510002,161.5,76.870003,155.259995,80.139999,114.400002,134.320007,97.190002,240.440002,55.25,157.389999,40.32,118.650002,96.970001
133.789993,73.599998,205.410004,60.352501,124.519997,114.669998,75.110001,39.060001,43.830002,27.969999,146.929993,178.699997,127.449997,106.339996,54.130001,134.169998,84.050003,160.330002,76.25,153.830002,78.860001,115.080002,134.309998,93.889999,229.490005,54.700001,151.850006,40.720001,119.480003,93.879997
140.699997,83.870003,211.580002,65.6175,148.770004,120.43,80.389999,41.43,46.669998,30.540001,158.229996,191.330002,134,114.82,58.43,139.759995,89.459999,177.039993,80.309998,165.270004,84.629997,117.809998,147.550003,98.980003,248.339996,56.700001,169.440002,42.630001,126.07,99.580002
144.600006,87.580002,208.779999,64.857498,141.580002,121.919998,80.919998,40.639999,46.509998,32.330002,166.020004,192.289993,135.240005,114.940002,58.400002,137.479996,90.639999,175.589996,78.559998,163.490005,84.160004,112.769997,145.070007,100.779999,248.039993,56.98,168.589996,42.810001,121.989998,101.239998
148.990005,92.080002,219.190002,66.517502,146.869995,127.400002,85.980003,41.740002,47.82,34.790001,176.960007,194.820007,139.25,119.290001,58.98,143.259995,94.300003,177.490005,81.620003,165.130005,85.300003,115.099998,151.119995,104.940002,267.829987,57.799999,174.940002,43.09,121.839996,101.07
147.779999,94.82,218.210007,66.997498,151.839996,125.029999,84.309998,41.200001,49,36.560001,184.259995,201.529999,143.429993,121.5,57.139999,141.229996,102.760002,183.699997,82.489998,165.139999,86.790001,114.660004,154.550003,109.739998,264.130005,57.439999,173.690002,43.98,121.800003,104.5
146.399994,90.330002,218.270004,68.3125,147.330002,114.139999,84.910004,41.220001,46.93,35.23,179.179993,198.789993,137.940002,121.150002,58.700001,139.770004,98.190002,180.119995,80.540001,165.509995,84.459999,115.949997,152.5,106.419998,263.51001,56.669998,168.990005,44.110001,125.300003,103.5
150.139999,88.389999,226.800003,71.762497,141,116.480003,84.610001,42.779999,48.919998,35.369999,178.229996,207.169998,140.589996,123.910004,60.66,146.029999,95.5,183.990005,82.839996,173.699997,87.470001,120.959999,157.710007,108.019997,270.5,58.139999,174.619995,46.380001,129,106.029999
145.160004,83.790001,221.800003,71.107498,145.979996,111.529999,82.489998,41.52,47.610001,32.23,178.520004,198.479996,134.839996,118.690002,58.869999,147.660004,90.790001,177.839996,82.07,171.880005,85.040001,121.220001,155.630005,102.169998,281.679993,56.93,165.960007,43.439999,128.759995,103.370003
144.899994,81.349998,230.899994,71.672501,134.240005,113.220001,79.989998,41.5,47.099998,31.629999,177.039993,199.850006,132.330002,115.730003,60.790001,149.669998,87.330002,179.5,83,177.039993,86.300003,121.5,157.059998,99.809998,298.429993,57.66,162.419998,43.23,132.330002,102.019997
146.460007,87.389999,234.970001,70.699997,154,116.300003,87.169998,42.48,48.060001,33.419998,183.490005,209.419998,138.320007,120.120003,60.360001,152.020004,95.18,186.100006,83.459999,178.600006,89.910004,124.690002,162.619995,105.07,290.559998,58.459999,169.539993,44.5,132.119995,106.629997
143.669998,84.010002,236.600006,69.232498,143.610001,114.599998,83.57,42.540001,46.529999,31.530001,180.399994,206.050003,135.699997,120.410004,59.18,151.669998,91.709999,181.649994,83.099998,175.059998,87.900002,120.599998,162.759995,101.779999,282.140015,58.130001,164.220001,42.849998,129.850006,102.260002
141.630005,81.519997,230.75,67.092499,136.330002,109.849998,81.639999,40.549999,45.380001,30.879999,173.809998,200.610001,132,116.760002,56.360001,149.679993,89.050003,177.580002,78.559998,167.820007,85.199997,119.68,150.559998,101.779999,274.190002,56.82,160.529999,42.549999,129.210007,100.540001
143.610001,82.540001,229.289993,69.025002,134.970001,110.639999,84.440002,41.759998,45.68,31.84,175.979996,204.169998,133.029999,119.309998,60.099998,152.990005,89.339996,186.479996,79.980003,173.520004,88.769997,119.400002,154.139999,101.790001,277.019989,57.990002,166.589996,43.310001,131.589996,100.989998
144.330002,82.459999,232.490005,68.7575,137.740005,112.910004,86.800003,41.619999,45.07,32.560001,175.050003,202.320007,134.679993,121.349998,59.040001,155.509995,89.389999,182.039993,80.879997,171.419998,87.349998,119.400002,151.720001,100.449997,285.329987,57.59,166.380005,43.5,128.529999,101
147,83.169998,236.279999,70.7425,128.979996,114.040001,87.010002,42.52,45.43,33.119999,177,212.179993,135.520004,124.720001,59.259998,154.860001,90.709999,184.020004,81.43,174.550003,88.370003,118.779999,153.979996,100.82,291.290009,57.93,167.320007,43.740002,129.440002,101.190002
153.649994,85.059998,242.429993,70.792503,128.679993,115.199997,89.709999,43.060001,46.779999,34.439999,183.539993,217.759995,139.880005,125.919998,59.470001,154.289993,94.620003,185.889999,83.980003,174.050003,89.370003,117.449997,157.630005,102.889999,293.980011,57.810001,171.759995,44.43,128.300003,106.059998
157.610001,88.190002,237.669998,69.644997,131.300003,115.459999,89.910004,42.490002,46.740002,35.869999,187.009995,217.630005,142.759995,126.269997,58.75,151.389999,95.290001,185.929993,81.18,169.809998,88.800003,116.889999,154.460007,104.290001,288.359985,57.830002,171.25,44.650002,128,106.209999
156.259995,96.120003,235.690002,71.932503,139,120.059998,94.620003,43.34,47.119999,37.470001,190.029999,221.809998,146.160004,128.690002,61.799999,150.240005,97.860001,187.820007,80.769997,177.429993,88.07,117.080002,160.429993,106,287.649994,58.119999,181.789993,45.360001,123.599998,112.25
151.919998,91.25,239.220001,73.449997,141.020004,116.379997,92,42.380001,45.889999,36.689999,183.419998,219.830002,141.899994,125.559998,59.98,150.039993,95.760002,187.559998,79.339996,179.210007,87.18,117.870003,161.949997,101.209999,292.470001,57.450001,178.720001,43.290001,121.550003,108.150002
148.600006,88.32,230.979996,72.267502,133.369995,110.879997,89.440002,40.919998,45.599998,33.93,177.100006,218.570007,137.25,121.870003,57.470001,148.289993,93.25,182.660004,77.669998,174.570007,85.540001,116.82,156.369995,96.050003,284.51001,56.830002,175.570007,41.66,122.919998,105.5
148.399994,86.379997,230.910004,73.290001,131.460007,107.720001,91.440002,41.349998,45.139999,33.060001,176.029999,221.839996,135.199997,121.68,57.990002,148.270004,92.139999,181.869995,76.860001,178.839996,85.75,115.769997,161.470001,96.910004,287.540009,56.240002,176.149994,42.450001,123.699997,103.18
147.429993,86.739998,236.360001,74.389999,125.400002,108.910004,92.889999,41.459999,45.400002,33.369999,178.300003,225.610001,134.869995,122.580002,58.75,149.5,92,179.240005,78.010002,180.759995,87.199997,116.010002,163.25,96.849998,293.040009,56.509998,178.440002,42.02,124.730003,101.059998
146.199997,84,236.589996,75.157501,121.860001,107.669998,90.050003,41.150002,44.75,31.959999,176.919998,223.919998,133.039993,123.169998,59.18,148.080002,90.269997,176.970001,77.120003,182.539993,88.440002,113.099998,163.669998,93.290001,288.769989,55.639999,178.779999,41.200001,123.300003,100.879997
145.740005,86.730003,233.330002,75.934998,128.649994,107.290001,92.639999,41.369999,44.599998,32.849998,182.320007,229.449997,132.789993,121.230003,59.169998,147.589996,91.209999,181.119995,75.599998,183.600006,88.559998,112.169998,169.899994,95.800003,285,55.580002,182.720001,40.66,121.889999,105.57
148.509995,89.5,234.820007,77.532501,133.440002,112.110001,95.470001,42.990002,46.110001,34.330002,185.389999,234.429993,136.910004,122.989998,59.669998,148.699997,92.699997,181.229996,76.400002,184.679993,90.459999,115.949997,175.899994,97.339996,287,57,185.089996,41.669998,122.940002,109.160004
